Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=01fd528e-fead-4d1c-8f97-8b7f928fa881&n=4,1,0,15440.529299994523,15440.529299994523,15440.529299994523,15440.529299994523,509.0,0.017172365384564917,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
GET,/api/find-carparks?uuid=07fa09d0-afc7-46a1-b01d-a9c964d9cd61&n=1,1,0,25814.63480000093,25814.63480000093,25814.63480000093,25814.63480000093,232.0,0.017172365384564917,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/find-carparks?uuid=096164f0-623c-4a74-a371-56d8fe133ef2&n=3,1,0,28109.916400004295,28109.916400004295,28109.916400004295,28109.916400004295,416.0,0.017172365384564917,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/find-carparks?uuid=09c71fa9-14c4-4013-9cae-ba423ca5ca5e&n=5,1,0,39439.14199999563,39439.14199999563,39439.14199999563,39439.14199999563,598.0,0.017172365384564917,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/api/find-carparks?uuid=0a9deedd-7a7e-4ff7-b58f-e57ba0f25992&n=1,1,0,12658.717799997248,12658.717799997248,12658.717799997248,12658.717799997248,233.0,0.017172365384564917,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/find-carparks?uuid=0cd67daa-2808-4218-b355-8fbb8c088970&n=4,1,0,29147.19740000146,29147.19740000146,29147.19740000146,29147.19740000146,507.0,0.017172365384564917,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/find-carparks?uuid=109c0e9e-082c-4463-a57c-16729b044830&n=3,1,0,19072.121299999708,19072.121299999708,19072.121299999708,19072.121299999708,416.0,0.017172365384564917,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/api/find-carparks?uuid=1182aa07-7363-4b15-aaaa-c68feab37a96&n=5,1,0,39689.191999998,39689.191999998,39689.191999998,39689.191999998,599.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=1509faf8-dfad-4dbb-a88f-a1443a36e09b&n=4,1,0,35819.937500004016,35819.937500004016,35819.937500004016,35819.937500004016,508.0,0.017172365384564917,0.0,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/api/find-carparks?uuid=2096f037-712a-42d0-a19b-736455c40894&n=4,1,0,12410.21439999895,12410.21439999895,12410.21439999895,12410.21439999895,507.0,0.017172365384564917,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/find-carparks?uuid=279669f9-24b9-4a76-bcb0-5b49a2a7803c&n=3,1,0,14420.900799996161,14420.900799996161,14420.900799996161,14420.900799996161,416.0,0.017172365384564917,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/find-carparks?uuid=29d6f4f1-88d4-43e5-8e81-e3083fdb57cf&n=3,1,0,39047.53590000473,39047.53590000473,39047.53590000473,39047.53590000473,416.0,0.017172365384564917,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,/api/find-carparks?uuid=32a491b2-165d-4582-b808-802809974cc8&n=3,1,0,39182.070199996815,39182.070199996815,39182.070199996815,39182.070199996815,415.0,0.017172365384564917,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
